Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,CountryCode,CountryName,Population,DeathsPop,CasesPop
Cuba,1337,0,51.0,0.0,437.0,849,11.0,118.0,5.0,37991.0,3354.0,CUB,Cuba,11338138.0,<1,11
Afghanistan,1531,+68,50.0,3.0,207.0,1274,7.0,39.0,1.0,8090.0,208.0,AFG,Afghanistan,37172386.0,<1,4
Estonia,1643,+8,49.0,3.0,233.0,1361,6.0,1239.0,37.0,47933.0,36134.0,EST,Estonia,1320884.0,3,124
Bolivia,866,+59,46.0,2.0,54.0,766,3.0,74.0,4.0,4995.0,428.0,BOL,Bolivia,11353142.0,<1,7
Burkina Faso,629,0,41.0,0.0,442.0,146,0.0,30.0,2.0,0.0,0.0,BFA,Burkina Faso,19751535.0,<1,3
San Marino,538,+25,41.0,1.0,64.0,433,4.0,15856.0,1208.0,2074.0,61124.0,SMR,San Marino,33785.0,121,1592
Lithuania,1438,+12,41.0,0.0,467.0,930,17.0,528.0,15.0,104488.0,38382.0,LTU,Lithuania,2789533.0,1,51
Andorra,738,0,40.0,0.0,344.0,354,17.0,9552.0,518.0,1673.0,21653.0,AND,Andorra,77006.0,51,958
Tunisia,939,0,38.0,0.0,207.0,694,19.0,79.0,3.0,20408.0,1727.0,TUN,Tunisia,11565204.0,<1,8
Channel Islands,525,0,35.0,0.0,332.0,158,0.0,3020.0,201.0,5342.0,30725.0,0,0,0.0,<1,<1
Nigeria,1182,0,35.0,0.0,222.0,925,2.0,6.0,0.2,10061.0,49.0,NGA,Nigeria,195874740.0,<1,<1
Albania,726,+14,28.0,1.0,410.0,288,4.0,252.0,10.0,7279.0,2529.0,ALB,Albania,2866376.0,<1,25
DRC,442,+26,28.0,0.0,50.0,364,0.0,5.0,0.3,0.0,0.0,COD,DRC,84068091.0,<1,<1
Armenia,1746,+69,28.0,0.0,833.0,885,10.0,589.0,9.0,17931.0,6051.0,ARM,Armenia,2951776.0,<1,59
Niger,684,0,27.0,0.0,325.0,332,0.0,28.0,1.0,5013.0,207.0,NER,Niger,22442948.0,<1,3
Kazakhstan,2652,+51,25.0,0.0,646.0,1981,31.0,141.0,1.0,196298.0,10454.0,KAZ,Kazakhstan,18276499.0,<1,14
Lebanon,707,+3,24.0,0.0,145.0,538,44.0,104.0,4.0,27827.0,4077.0,LBN,Lebanon,6848925.0,<1,10
Mali,370,0,21.0,0.0,91.0,258,0.0,18.0,1.0,2172.0,107.0,MLI,Mali,19077690.0,<1,1
Azerbaijan,1645,+28,21.0,0.0,1139.0,485,15.0,162.0,2.0,120479.0,11883.0,AZE,Azerbaijan,9942334.0,<1,16
Kuwait,3075,+183,20.0,1.0,806.0,2249,61.0,720.0,5.0,0.0,0.0,KWT,Kuwait,4137309.0,<1,74
Isle of Man,308,0,18.0,0.0,247.0,43,22.0,3622.0,212.0,2854.0,33563.0,IMN,Isle of Man,84077.0,21,366
Somalia,390,0,18.0,0.0,8.0,364,2.0,25.0,1.0,0.0,0.0,SOM,Somalia,15008154.0,<1,2
New Zealand,1470,+9,18.0,0.0,1142.0,310,1.0,305.0,4.0,120981.0,25088.0,NZL,New Zealand,4885500.0,<1,30
Slovakia,1379,+6,18.0,1.0,394.0,967,5.0,253.0,3.0,70928.0,12991.0,SVK,Slovakia,5447011.0,<1,25
Sudan,213,0,17.0,0.0,19.0,177,0.0,5.0,0.4,0.0,0.0,SDN,Sudan,41801533.0,<1,<1
Kenya,343,0,14.0,0.0,98.0,231,2.0,6.0,0.3,17492.0,325.0,KEN,Kenya,51393010.0,<1,<1
